from,to,count
BCLAF1,ZNF292,10
BCLAF1,WNT5A,10
BCLAF1,STAT6,10
BCLAF1,PHF20L1,10
BCLAF1,HP1BP3,10
BCLAF1,HOXC6,10
BCLAF1,OSBPL8,10
BCLAF1,BBX,10
BCLAF1,RCOR1,10
BCLAF1,G3BP2,10
BCLAF1,VCAN,10
BCLAF1,VCL,10
BCLAF1,PPP2R3A,10
BCLAF1,ZNF644,10
BCLAF1,SUZ12,10
BCLAF1,BRD3,10
BCLAF1,HNRNPR,10
BCLAF1,JMJD1C,10
BCLAF1,NUFIP2,10
BCLAF1,PUM2,10
BCLAF1,PDZD8,10
BCLAF1,PPP2R5C,10
BCLAF1,HNRNPH1,10
BCLAF1,PPP4R3B,10
BCLAF1,PKN1,10
BCLAF1,TNRC6B,10
BCLAF1,KDM6A,10
BCLAF1,NFE2L1,10
BCLAF1,SETD2,10
BCLAF1,SYNCRIP,10
BCLAF1,BRWD1,10
BCLAF1,RABEP1,10
BCLAF1,ATF7,10
BCLAF1,SETBP1,10
BCLAF1,CCDC88A,10
BCLAF1,MYO9A,10
BCLAF1,KIAA1551,10
BCLAF1,BDP1,10
BCLAF1,EIF4G1,10
BCLAF1,ZEB2,10
BCLAF1,YY1,10
BCLAF1,DDX42,10
BCLAF1,ACAP2,10
BCLAF1,NAV1,10
BCLAF1,EXT1,10
BCLAF1,SRRM1,10
BCLAF1,COPS2,10
BCLAF1,AGO3,10
BCLAF1,CSNK1D,10
BCLAF1,TAOK3,10
BCLAF1,CKAP4,10
BCLAF1,PRICKLE1,10
BCLAF1,STT3A,10
BCLAF1,PRKG1,10
BCLAF1,BCLAF1,10
BCLAF1,TOP2B,10
BCLAF1,SLK,10
BCLAF1,UBE2H,10
BCLAF1,ANPEP,10
BCLAF1,FERMT2,10
BCLAF1,ATRX,10
BCLAF1,BNIP2,10
BCLAF1,TAF15,10
BCLAF1,ABCA1,10
BCLAF1,ELF1,10
BCLAF1,DGKH,10
BCLAF1,PLEKHH3,10
BCLAF1,ZKSCAN1,10
BCLAF1,BAZ1B,10
BCLAF1,INO80,10
BCLAF1,ZNF566,10
BCLAF1,HNRNPU,10
