,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
UBE2H,0.012554163542518,-0.038275698565479,0.447,0.379,1
SERTAD1,0.012588237000378,-0.049863956929334,0.414,0.352,1
NCSTN,0.012627690008431,-0.040993761043314,0.252,0.215,1
RBMX2,0.012895033039549,-0.037500726922911,0.298,0.254,1
LSM3,0.01294283854483,-0.049242703456869,0.619,0.539,1
MCC,0.012968271503189,-0.041758060280475,0.221,0.189,1
NCOA4,0.012980502351302,-0.047861502773723,0.338,0.286,1
DNAJB2,0.013109019397731,-0.058278473181802,0.272,0.231,1
RBBP6,0.013130398248578,-0.064870039963784,0.398,0.336,1
KIAA1143,0.013305401272477,-0.024107328462304,0.246,0.21,1
STAG2,0.01330828320518,-0.148148847444043,0.342,0.329,1
SPATA20,0.013316328762854,-0.044217349879876,0.211,0.177,1
INO80E,0.013389941252501,-0.066540115131382,0.2,0.167,1
TBCB,0.013531007609618,-0.018494472928628,0.599,0.526,1
HDGFL2,0.013700919021333,-0.119287854996294,0.261,0.259,1
ROCK1,0.014011339173405,-0.018538317471913,0.56,0.48,1
TERF1,0.01401526920763,-0.131136093732234,0.345,0.334,1
SFXN3,0.014044958364669,-0.114639466914374,0.275,0.275,1
PNRC2,0.014089585965642,-0.15102715757893,0.433,0.407,1
WDR83OS,0.01409973111262,-0.085048250554739,0.772,0.714,1
TLN1,0.014141411290469,-0.019121620441736,0.631,0.548,1
PFKL,0.014267495727788,-0.04302592005985,0.452,0.387,1
NOC3L,0.014326295396448,-0.028447722435713,0.207,0.178,1
HOOK2,0.014519153616204,-0.038526451634472,0.202,0.171,1
MIB1,0.014628335253184,-0.045599519451636,0.305,0.26,1
CDK13,0.014788407168504,-0.104205420895399,0.298,0.297,1
TADA3,0.014872709749911,-0.055197544878442,0.394,0.333,1
KPNA4,0.014888041329392,-0.039719817044343,0.339,0.289,1
SNX4,0.014937163510723,-0.036309912383765,0.22,0.186,1
RPL9,0.014961170687322,0.014350937674299,0.96,0.977,1
NRDC,0.015001650159578,-0.046268602953913,0.389,0.331,1
ARFGAP2,0.01502892990024,-0.120337318158064,0.268,0.267,1
PKD1,0.015145615391806,-0.033156306303334,0.356,0.305,1
TCTN1,0.015381875472089,-0.124857474811951,0.237,0.239,1
RTF2,0.015416608828295,-0.134424771999875,0.503,0.463,1
PLEKHM2,0.015592605345484,-0.046804333661278,0.338,0.289,1
RPS3A,0.015610358464153,0.004500090987102,0.972,0.983,1
PARL,0.015659727107015,-0.063702813820244,0.312,0.263,1
PIGX,0.015708349473259,-0.042310332043953,0.237,0.202,1
KDM2A,0.015921419889654,-0.021051384065646,0.278,0.239,1
IFI16,0.015935859419261,0.049824934416861,0.785,0.72,1
ZMYM4,0.016029975311531,-0.056693578368626,0.24,0.204,1
MRPS31,0.016127489051125,-0.047326084691919,0.2,0.17,1
PRADC1,0.016137009642181,-0.045472853353433,0.211,0.178,1
ASMTL,0.016151228733148,-0.029217380237736,0.216,0.184,1
DDX49,0.016277527258599,-0.052497380418968,0.225,0.191,1
SNRNP200,0.016288703336875,-0.123866150569947,0.335,0.33,1
BCL9L,0.016304112519795,-0.033118569257191,0.241,0.207,1
NUMB,0.016305102915741,-0.051384801481052,0.301,0.257,1
CYBA,0.016397470190724,0.038684978514945,0.818,0.781,1
PPP1R2,0.016563220548129,-0.045251598014517,0.361,0.305,1
CTSD,0.016754295065983,-0.11265820125277,0.774,0.726,1
LARS,0.016911268389287,-0.045793446374486,0.38,0.324,1
PNPLA8,0.0170108358109,-0.031963175369833,0.299,0.255,1
DMWD,0.017067242287207,-0.029365145257114,0.235,0.202,1
C5orf15,0.017074796137513,-0.023917919592181,0.394,0.339,1
RPAIN,0.017234895580014,-0.022291673151421,0.296,0.255,1
MAGED2,0.017276048469384,-0.03009034225601,0.658,0.581,1
NDUFA2,0.017678160498315,-0.056896549860383,0.598,0.511,1
NEDD8,0.017681181252309,0.003551012916099,0.821,0.778,1
PPCS,0.017909945478343,-0.137707703790669,0.426,0.402,1
RPS6KA3,0.017986330003437,-0.051405841321392,0.22,0.187,1
CALR,0.018113637319132,0.013802662525101,0.9,0.843,1
UPF3B,0.018144113490971,-0.044804634280493,0.242,0.207,1
ARID4B,0.018153555025564,-0.138303736259978,0.529,0.485,1
RNASEH2C,0.018234411682944,-0.060608185281347,0.58,0.494,1
USP9X,0.01852392128568,-0.033121699052925,0.298,0.256,1
CEP63,0.018588524125447,-0.115533674994977,0.198,0.202,1
KAT8,0.018845920199644,-0.104087831492787,0.206,0.21,1
